Titulo;Ano;Sigla;ResumoPT
Estudo para estimativa do dimorfismo sexual por meio de indices carpais em leucodermas, entre 6 e 10 anos de idade e por meio de telerradiografias, utilizando-se a metodologia de Eklof & Ringertz;1992;ODE;"""Em nosso trabalho estudamos a possibilidade de verificar se, pelas medidas de alguns ossos da mao e carpo, preconizadas por eklof & ringertz, seria possivel de se estabelecer quais as mais confiaveis para se determinar dimorfismo sexual em uma amostra leucoderma da cidade de mogi das cruzes - sp. O total da amostragem constou de 152 individuos, sendo 64 do sexo masculino e 88 do sexo feminino. Quando se aplicou o teste de confiabilidade da amostra pode-se entao constatar que existe possibilidade real de se determinar dimorfismo sexual pelos referenciais de eklof & ringertz, dentro da faixa etaria de 6 a 10 anos que foi objetivo desta pesquisa"""
Observacoes ao microscopio eletronico de varredura das condicoes de superficie em restauracoes com amalgama;1992;ODD;"""Esse experimento teve a finalidade de verificar a lisura de superficie de corpos de prova restaurados com amalgama de liga convencional, atraves da analise de microscopia eletronica de varredura, apos a utilizacao de cinco diferentes tecnicas de acabamento e polimento padronizados no tempo de 24 e 168 horas apos a trituracao, e um grupo controle somente esculpidos e brunidos, imersos em saliva artificial e submetidos a uma escovacao diaria (50 movimentos) por 7 e 14 dias consecutivos. Os resultados mostraram que nenhuma das tecnicas utilizadas foram capazes de proporcionar uma superficie final completamente lisa (livre de riscos ou ranhuras, pontos em relevo e/ou depressao e presenca de espacos vazios ou poros). Comparativamente a outras tecnicas, considerando-se os dois tempos 24 e 168 horas apos a trituracao, o grupo acabado com pedra de carboneto de silicio verde (granulacao fina) e polidos com taca de borracha mole e pedra pomes e com escova de sweeney e oxido de zinco, foi a que melhores condicoes de superficie proporcionou. Considerando-se as diferencas entre tecnicas e entre tempos, o grupo de corpos-de-prova polidos no tempo de 24 e 168 horas, estruturalmente, proporcionaram melhores resultados, quando comparados aos grupos tratados no tempo de 24 horas"""
Estudo da variacao do numero de celulas de langerhans na mucosa gengival submetida a bochechos com solucao de clorexidina;1992;ODC;"""O presente trabalho teve como objetivo verificar se uma solucao de clorexidina a 0,126% usada topicamente na forma de bochechos por um periodo de 7 e 14 dias, tem a capacidade de alterar o numero de celula de langerhans presentes na gengiva de 15 pacientes submetidos a pesquisa. Usando o metodo imuno-histoquimico com anti-soro anti-proteina s-100, o autor encontrou nas biopsias um significativo aumento do numero das celulas de langerhans presentes na gengiva dos pacientes, ate o setimo dia apos a instituicao dos bochechos. Verificou ainda que do setimo ao decimo quinto dia nao ocorreu variacao significativa. A correlacao entre inflamacao e aumento das celulas de langerhans na gengiva, fato sobejamente citado na literatura, levou o autor a considerar que a clorexidina age como antigeno quando aplicada topicamente"""
Acidentes operatórios decorrentes da execução da técnica do retalho de espessura total. Estudo histológico em cães;1985;ODE;"""Acidentes operatórios decorrentes da execução da técnica do retalho de espessura total. Estudo histológico em cães"""
Estudo comparativo da adaptacao de cordas ocas de porcelana, com coroas fundidas em liga aurica e resina acrilica em diferentes tipos de preparos aferida pela pelicula de cimento;1985;ODP;"""Estudo comparativo da adaptacao de cordas ocas de porcelana, com coroas fundidas em liga aurica e resina acrilica em diferentes tipos de preparos aferida pela pelicula de cimento"""
Avaliacao, atraves da microscopia eletronica de varredura, da limpeza da parede do canal radicular (terco apical), apos o preparo quimico-mecanico, tendo como fonte de variacao o tipo e o numero de uso dos instrumentos;1985;ODD;"""Avaliacao, atraves da microscopia eletronica de varredura, da limpeza da parede do canal radicular (terco apical), apos o preparo quimico-mecanico, tendo como fonte de variacao o tipo e o numero de uso dos instrumentos"""
Estudo das propriedades gerais de uma liga elaborada com baixo conteudo de ouro (46%);1985;ODP;"""Estudo das propriedades gerais de uma liga elaborada com baixo conteudo de ouro (46%)"""
Mensuracao das variacoes da forca mecanica desenvolvida na ponta da lamina de elevadores de seldin angulados, portadores de dimensoes procedencias - diferentes;1986;ODC;"""Mensuracao das variacoes da forca mecanica desenvolvida na ponta da lamina de elevadores de seldin angulados, portadores de dimensoes procedencias - diferentes"""
Estudo da correlacao entre a trajetoria condilar de balanceio com a inclinacao das cuspides palatinas dos dentes superiores;1985;ODP;"""Estudo da correlacao entre a trajetoria condilar de balanceio com a inclinacao das cuspides palatinas dos dentes superiores"""
Estudo radiografico dos incrementos osseos mandibulo-faciais de individuos leucodermas, por meio de ortopantomografia;1992;ODE;"""O presente trabalho constou de um estudo por meio de radiografias panoramicas no sistema ortopantomografico, utilizando o aparelho ortoceph 5 ag da marca siemens em 175 (cento e setenta e cinco) individuos leucodermas apresentando denticao decidua, mista ou permanente em boa condicao, subdivididos em grupos quinquenais (5 em 5 anos), a partir dos 5 anos de idade. Atraves das medidas lineares e angulares efetuadas, determinamos o grupo-etario osseo, assim como os incrementos e as discrepancias osseas entre as faixas etarias acompanhadas. As medidas condilo-condilo, gonio-gonio, mento a condilo-condilo, condilo-mento e condilo-gonio, apresentaram maior indice de incremento no terceiro quinquenio. Para a medida mento-espinha nasal anterior, isto se verificou no quarto quinquenio. Em relacao a medida mento-linha orbital e gonio-mento, ha crescimento entre as medias do segundo e quarto quinquenios e primeiro e quarto quinquenios, respectivamente; o angulo mandibular evidenciou media mais alta no segundo quinquenio"""
Avaliacao in vitro da fagocitose de candida albicans, sorotipos a e b, por macrofagos peritoneais ativados de camundongos isogenicos;1994;ODE;"""Tendo em vista a indefinida literatura em relacao aos macrofagos e a fagocitose de fungos e os resultados conflitantes frente as diversas metodologias empregadas, propusemo-nos, apos o estabelecimento de um modelo experimental, estudar a fagocitose in vitro de candida albicans. Utilizamos para este estudo macrofagos peritoneais ativados, obtidos de camundongos isogenicos da linhagem a/sn e duas cepas de candida albicans de diferentes procedencias e sorotipos: icb-12 sorotipo a e icb-156 sorotipo b. Avaliamos a fagocitose pela contagem de macrofagos contendo em seu interior celulas vivas e/ou mortas, determinando-se o indice de fagocitose pela multiplicacao da porcentagem de macrofagos que fagocitaram e do numero medio de leveduras por macrofagos. Valemo-nos de corantes vitais como vermelho neutro e fluorescentes (diacetato de fluorescencia e brometo de etidio), examinando o material a luz da microscopia de fase e fluorescencia. Pudemos observar comportamento diferente dos macrofagos em relacao as duas cepas de c. Albicans estudadas, demonstrando porcentagem e indice maior de fagocitose dos macrofagos frente a cepa de c. Albicans icb-12 sorotipo a quando comparada a cepa de c. Albicans sorotipo b, embora o numero medio de leveduras por macrofagos fosse semelhante para ambas as cepas"""
Análise química (quantitativa) das ligas de aço inoxidável de alguns instrumentos endodônticos de diferentes tipos e procedencias - contribuição ao estudo;1986;ODD;"""Análise química (quantitativa) das ligas de aço inoxidável de alguns instrumentos endodônticos de diferentes tipos e procedencias - contribuição ao estudo"""
Contribuicao para o estudo das tensoes que ocorrem em dentes restaurados, utilizando ligas de ouro e de cobre-aluminio, sob acao de forca distribuida - metodo dos elementos finitos;1986;ODD;"""Contribuicao para o estudo das tensoes que ocorrem em dentes restaurados, utilizando ligas de ouro e de cobre-aluminio, sob acao de forca distribuida - metodo dos elementos finitos"""
Contribuicao para o estudo da alteracao dimensional de moldagens com alivio e sem alivio, com materiais a base de silicona;1986;ODD;"""Contribuicao para o estudo da alteracao dimensional de moldagens com alivio e sem alivio, com materiais a base de silicona"""
Avaliacao da presenca de hemoculturas positivas a microorganismos anaerobicos - apos o uso como colutorio, de solucao aquosa de cloreto de cetilpiridinio - decorrentes da remocao do fio de sutura aposto na mucosa gengival, após exodontia;1986;ODC;"""Avaliacao da presenca de hemoculturas positivas a microorganismos anaerobicos - apos o uso como colutorio, de solucao aquosa de cloreto de cetilpiridinio - decorrentes da remocao do fio de sutura aposto na mucosa gengival, após exodontia"""
Estudo das relacoes entre as diversas classes de arcos parcialmente edentados, segundo kennedy e fenomenos dolorosos miofaciais e da atm, em pacientes portadores de protese parcial removivel;1986;ODP;"""Estudo das relacoes entre as diversas classes de arcos parcialmente edentados, segundo kennedy e fenomenos dolorosos miofaciais e da atm, em pacientes portadores de protese parcial removivel"""
Análise da ortopedia precoce seguida de duas técnicas cirurgicas de queiloplastia em pacientes portadores de fissuras labio-palatinas bilaterais;1986;ODC;"""Análise da ortopedia precoce seguida de duas técnicas cirurgicas de queiloplastia em pacientes portadores de fissuras labio-palatinas bilaterais"""
Estudo comparativo dos efeitos da lidocaina com noradrenalina e da prilocaina com felipressina sobre o sistema cardiovascular (pressoes sistolica, diastolica e media e frequencia cardiaca) em caes;1986;ODE;"""Estudo comparativo dos efeitos da lidocaina com noradrenalina e da prilocaina com felipressina sobre o sistema cardiovascular (pressoes sistolica, diastolica e media e frequencia cardiaca) em caes"""
Proposicao de um indice simplificado de indutos, em dentes deciduos de criancas de 4 a 6 anos;1986;ODO;"""Proposicao de um indice simplificado de indutos, em dentes deciduos de criancas de 4 a 6 anos"""
Avaliacao imediata da protese obturadora faringica na fala e voz de pacientes portadores de insuficiencia velofaringica;1992;ODC;"""Reconhecendo a importancia da fala e da voz na expressao e comunicacao humana, o autor elabora uma avaliacao dos efeitos da protese obturadora faringica na fala e na voz de pacientes portadores de fissura de labio e palato, ou palato, ja submetidos a cirurgia plastica reparadora mas que apresentavam insuficiencia velofaringica. De acordo com a metodologia proposta o autor observa que a protese obturadora faringica foi capaz de eliminar os diversos niveis de hipernasalidade considerados e propiciar uma reducao de escape de ar nasal durante as atividades de sopro e de fala. Ao mesmo tempo os resultados obtidos revelam a persistencia dos disturbios articulatorios golpe de glote e fricativa faringica e a eliminacao do sigmatismo nasal e mimica nasal na presenca da protese obturadora faringica. O autor conclue que a protese obturadora faringica reduz a deficiencia velofaringica, favorecendo a oclusao do esfincter durante o sopro e a fala, cria condicoes mais favoraveis a terapia fonoarticulatoria e melhora a qualidade de voz dos pacientes portadores de insuficiencia velofaringica"""
Avaliacao da eficacia do indice de helkimo, na classificacao inicial de pacientes portadores de disfuncao dolorosa da articulacao temporomandibular numa populacao brasileira;1992;ODC;"""Este trabalho analisa os indices de helkimo (1974) para classificacao inicial de pacientes portadores de disfuncao da articulacao temporomandibular. Foram avaliados 55 pacientes, sem distincao de idade ou sexo, atendidos no ambulatorio da disciplina de traumatologia maxilo facial da faculdade de odontologia da universidade de sao paulo. Foram levantadas a queixa principal, os padroes de ocorrencia de dor, os musculos mastigatorios e posturais envolvidos, a sensibilidade da articulacao em si e os ruidos articulares. E observada relacao positiva dos indices, quanto ao envolvimento muscular, dor a palpacao muscular, dor relacionada a funcao e dor a palpacao da regiao posterior da capsula da articulacao. Tendo em vista a importancia destes fatores na disfuncao dolorosa de atm e a relacao positiva entre eles e os indices clinicos, justifica-se seu emprego, na classificacao inicial de pacientes ambulatoriais. O autor conclui ainda que os indices anamnesicos nao devem ser empregados na classificacao inicial dos pacientes e que os indices clinicos devem ser utilizados apenas em tres niveis: i (disfuncao leve), ii (disfuncao moderada) e iii (disfuncao intensa)"""
Estudo clinico e ultra-estrutural da repigmentacao melanica fisiologica em gengiva de caucasianos;1986;ODE;"""Estudo clinico e ultra-estrutural da repigmentacao melanica fisiologica em gengiva de caucasianos"""
Curva de compensacao em protese total (estudo comparativo entre a curva determinada pela tecnica de paterson e a curva resultante do desgaste fisiologico dos dentes pelo uso);1986;ODP;"""Curva de compensacao em protese total (estudo comparativo entre a curva determinada pela tecnica de paterson e a curva resultante do desgaste fisiologico dos dentes pelo uso)"""
Mensuracao dos trespasses horizontal e vertical em modelos;1986;ODP;"""Mensuracao dos trespasses horizontal e vertical em modelos"""
Avaliacao da infiltracao marginal. Efeitos de tecnicas, marcas de resina composta e preparos cavitarios em especimes submetidos a ciclagem termica;1987;ODD;"""Avaliacao da infiltracao marginal. Efeitos de tecnicas, marcas de resina composta e preparos cavitarios em especimes submetidos a ciclagem termica"""
Amalgama dental;1987;ODD;"""Amalgama dental"""
Pesquisa realizada em 30 laboratorios comerciais da grande sao paulo para avaliacao sobre os diversos aspectos da construcao das proteses parciais removiveis, feitas pelos cirurgioes dentistas e tecnicos de laboratorio;1988;ODP;"""Pesquisa realizada em 30 laboratorios comerciais da grande sao paulo para avaliacao sobre os diversos aspectos da construcao das proteses parciais removiveis, feitas pelos cirurgioes dentistas e tecnicos de laboratorio"""
Estudo do espaco maxilo mandibular em funcao da expansao do gesso utilizado na montagem dos modelos no articulador;1988;ODP;"""Estudo do espaco maxilo mandibular em funcao da expansao do gesso utilizado na montagem dos modelos no articulador"""
Autonomia do direito sanitario;1973;ODS;"""Autonomia do direito sanitario"""
Estudo do comportamento de uma liga de cobre/aluminio, frente a condicoes artificiais indutoras de corrosao, com presenca ou ausencia de tensao;1992;ODD;"""Foi avaliado, com auxilio de microanalise por dispersao de energia e microscopia eletronica de varredura, que a liga de cobre-aluminio (duracast m.S.) Sofre, do ponto de vista da corrosao, alteracao no equilibrio de sua composicao, oscilando os valores iniciais de cobre e aluminio em relacao ao controle e os tempos finais do experimento. Ficou demonstrado que o comportamento varia, sob a optica dos niveis de degradacao do material, quando da aplicacao de carga sobre as amostras, ja que o grupo sujeito a incidencia de esforco mecanico, aos 45 dias, mostrou-se qualitativamente inferior ao grupo de 45 dias sem tensao. A literatura e escassa no que tange a corrosao e corrosao sob tensao em ligas de cobre-aluminio, porem foi desenvolvida uma metodologia e conclui-se: 1)o processo de fundicao odontologica, embora ofereca razoavel nivel de precisao, deixa a desejar no apuro final da liga por nao valer-se rotineiramente do controle do resfriamento; 2)a liga duracast m.S. E instavel, a partir do momento em que e fundida e so adquire estabilidade atraves do uso, passando for fases intermediarias onde predomina, em principio, a formacao de oxido de aluminio para, posteriormente, predominar o oxido de cobre; 3)as tensoes incidentes sobre as restauracoes metalicas fundidas sao capazes de acelerar a degradacao da liga metalica, encurtando por tal a vida util do trabalho odontologico"""
Contribuicao para o estudo da cronologia da erupcao dos dentes permanentes em judeus do grupo etnico ashkena-zim de niveis socio-economicos elevados. Sua aplicacao na estimativa da idade;1963;ODS;"""Contribuicao para o estudo da cronologia da erupcao dos dentes permanentes em judeus do grupo etnico ashkena-zim de niveis socio-economicos elevados. Sua aplicacao na estimativa da idade"""
Levedura em canais radiculares;1968;ODE;"""Levedura em canais radiculares"""
Contribuicao para o estudo de metodos para estimar o indice cpo em criancas de 7 a 12 anos;1969;ODS;"""Contribuicao para o estudo de metodos para estimar o indice cpo em criancas de 7 a 12 anos"""
Resistencia a remocao por tracao de coroas totais cimentadas em dentes naturais;1972;ODP;"""Resistencia a remocao por tracao de coroas totais cimentadas em dentes naturais"""
Contribuicao para o estudo da acao do fluor na dentina do incisivo do rato (rattus norvegicus albinus rodentia, mammalia);1969;ODO;"""Contribuicao para o estudo da acao do fluor na dentina do incisivo do rato (rattus norvegicus albinus rodentia, mammalia)"""
Resistencia ao choque e a compressao de tres revestimentos para fundicoes, sob influencia de suas consistencias, tipos de espatulacao, idades e temperaturas de aquecimento;1970;ODM;"""Resistencia ao choque e a compressao de tres revestimentos para fundicoes, sob influencia de suas consistencias, tipos de espatulacao, idades e temperaturas de aquecimento"""
Contribuicao para o estudo da proporcionalidade entre a medida bi-zigomatica e a largura do incisivo central superior;1972;ODO;"""Contribuicao para o estudo da proporcionalidade entre a medida bi-zigomatica e a largura do incisivo central superior"""
Contribuicao para o estudo da corrosao de algumas ligas metalicas nao aureas para fundicoes dentarias;1971;ODM;"""Contribuicao para o estudo da corrosao de algumas ligas metalicas nao aureas para fundicoes dentarias"""
"Estudo comparativo entre as tecnicas de enxerto livre de gengiva e de separacao periostica na cirurgia mucogengival; observacoes clinicas, biometricas, histologicas e histoquimicas em seres humanos";1972;ODE;"""Estudo comparativo entre as tecnicas de enxerto livre de gengiva e de separacao periostica na cirurgia mucogengival; observacoes clinicas, biometricas, histologicas e histoquimicas em seres humanos"""
Contribuição ao estudo do conteúdo de mercúrio em regiões diferentes de um mesmo corpo de prova de amalgama, em função da idade;1974;ODM;"""Contribuição ao estudo do conteúdo de mercúrio em regiões diferentes de um mesmo corpo de prova de amalgama, em função da idade"""
Relacao cirurgiao dentista autonomo-paciente;1972;ODS;"""Relacao cirurgiao dentista autonomo-paciente"""
Influencia de substratos de coloracao diversa sobre cores de resinas acrilicas, em que se variam marcas, consistencias de preparo e espessuras;1970;ODM;"""Influencia de substratos de coloracao diversa sobre cores de resinas acrilicas, em que se variam marcas, consistencias de preparo e espessuras"""
Amalgama de prata;1967;ODD;"""Amalgama de prata"""
Contribuicao para o estudo da adicao de fluoreto de calcio e amalgama dentario;1972;ODO;"""Contribuicao para o estudo da adicao de fluoreto de calcio e amalgama dentario"""
Registro da trajetoria sagital da cabeca da mandibula. Estudo comparativo entre os metodos radiograficos e clinico-protetico;1966;ODE;"""Registro da trajetoria sagital da cabeca da mandibula. Estudo comparativo entre os metodos radiograficos e clinico-protetico"""
Contribuicao para o estudo de tecnicas de sialografia funcional da parotida. Avaliacao dos sialogramas obtidos com a utilizacao de substancia oleosa fluida em glandulas clinicamente normais;1972;ODC;"""Contribuicao para o estudo de tecnicas de sialografia funcional da parotida. Avaliacao dos sialogramas obtidos com a utilizacao de substancia oleosa fluida em glandulas clinicamente normais"""
Contribuicao para o estudo da refletancia aparente da superficie de amalgamas preparados com limalhas finas ou grossas, polidos ou simplesmente esculpidos, sob a acao de banhos de imersao e da escovacao;1969;ODD;"""Contribuicao para o estudo da refletancia aparente da superficie de amalgamas preparados com limalhas finas ou grossas, polidos ou simplesmente esculpidos, sob a acao de banhos de imersao e da escovacao"""
Avaliacao de propriedades mecanicas de algumas formas da alca de retracao ortodontica em funcao do tratamento termico;1970;ODO;"""Avaliacao de propriedades mecanicas de algumas formas da alca de retracao ortodontica em funcao do tratamento termico"""
Incisoes nos processos alveloares. Estudo experimental da reparacao de feridas localizadas nas mucosas alveolar e gengival do cao;1970;ODC;"""Incisoes nos processos alveloares. Estudo experimental da reparacao de feridas localizadas nas mucosas alveolar e gengival do cao"""
Considerações sobre a ação do hipotiroidismo experimental no periodonto de ratos (rattus norvegicos albinus, rodentia, mamalia);1969;ODO;"""Considerações sobre a ação do hipotiroidismo experimental no periodonto de ratos (rattus norvegicos albinus, rodentia, mamalia)"""
Rugosimetria dos corpos de prova de resinas compostas tratadas com diversos pos abrasivos;1971;ODD;"""Rugosimetria dos corpos de prova de resinas compostas tratadas com diversos pos abrasivos"""
Estudo das alteracoes da posicao dos elementos de suporte nos modelos de trabalho para protese fixa;1969;ODP;"""Estudo das alteracoes da posicao dos elementos de suporte nos modelos de trabalho para protese fixa"""
Efeitos da raspagem e polimento dentais como medidas pre-operatorias as gengivectomias (estudo clinico e histologico) sua importancia na tepeutica periodontal;1965;ODE;"""Efeitos da raspagem e polimento dentais como medidas pre-operatorias as gengivectomias (estudo clinico e histologico) sua importancia na tepeutica periodontal"""
As sondas de prata badan na avaliacao do estado bacteriologico dos canais radiculares com a determinacao das causas de sua oxidacao;1971;ODD;"""As sondas de prata badan na avaliacao do estado bacteriologico dos canais radiculares com a determinacao das causas de sua oxidacao"""
Moldagem da face com gesso. Apresentacao de tecnica e avaliacao dos resultados;1965;ODP;"""Moldagem da face com gesso. Apresentacao de tecnica e avaliacao dos resultados"""
Brunidura da superficie do corpo de prova de amalgama apos a escultura;1972;ODD;"""Brunidura da superficie do corpo de prova de amalgama apos a escultura"""
Contribuicao ao estudo do tetano;1972;ODC;"""Contribuicao ao estudo do tetano"""
Penfigo foliaceo - aspectos estomatologicos. Estudo clinico, micologico, citologico, histologico e histoquimico;1972;ODE;"""Penfigo foliaceo - aspectos estomatologicos. Estudo clinico, micologico, citologico, histologico e histoquimico"""
Desinfeccao de pecas de resina acrilica com vistas aos implantes (contribuicao para o estudo);1967;ODC;"""Desinfeccao de pecas de resina acrilica com vistas aos implantes (contribuicao para o estudo)"""
Estereofotogrametria dental - estudo dos valores angulares de algumas vertentes guias da face oclusal dos dentes permanentes;1972;ODD;"""Estereofotogrametria dental - estudo dos valores angulares de algumas vertentes guias da face oclusal dos dentes permanentes"""
Contribuicao para o estudo do comportamento da largura e do comprimento maximos da cabeca de escolares brancos da cidade de sao paulo;1964;ODS;"""Contribuicao para o estudo do comportamento da largura e do comprimento maximos da cabeca de escolares brancos da cidade de sao paulo"""
Influencia da superficie de contacto do corpo de prova, na mensuracao da alteracao dimensional do amalgama dental;1965;ODM;"""Influencia da superficie de contacto do corpo de prova, na mensuracao da alteracao dimensional do amalgama dental"""
Contribuicao do estudo da medicacao pos-pulpectomia. O uso de uma associacao corticosteroide-antibiotico como curativo de demora;1969;ODD;"""Contribuicao do estudo da medicacao pos-pulpectomia. O uso de uma associacao corticosteroide-antibiotico como curativo de demora"""
Bridotomia com sutura e com fenestracao linear periosticas. Estudo comparativo em caes;1972;ODE;"""Bridotomia com sutura e com fenestracao linear periosticas. Estudo comparativo em caes"""
Estudo antropometrico de extremidade cefalica de leucodermas adultos de ambos os sexos, da regiao do guarau, jacupiranga, estado de sao paulo;1971;ODS;"""Estudo antropometrico de extremidade cefalica de leucodermas adultos de ambos os sexos, da regiao do guarau, jacupiranga, estado de sao paulo"""
Reacao do tecido conjuntivo do rato (rattus norvegicus albinus, rodentia, mammalia) ao implante de amalgama de prata. Estudo comparativo entre ratos diabeticos-aloxanicos e nao diabeticos;1971;ODD;"""Reacao do tecido conjuntivo do rato (rattus norvegicus albinus, rodentia, mammalia) ao implante de amalgama de prata. Estudo comparativo entre ratos diabeticos-aloxanicos e nao diabeticos"""
Estudo da relacao entre os graus de inflamacao, concentracao de glicogenio e queratinizacao da gengiva humana;1971;ODE;"""Estudo da relacao entre os graus de inflamacao, concentracao de glicogenio e queratinizacao da gengiva humana"""
Avaliacao comparativa in vitro das alteracoes de cor e brilho de ligas odontologicas nao preciosas em funcao do tempo e dos diversos meios de imersao;1990;ODP;"""O objetivo desta pesquisa foi verificar as alteracoes de cor e brilho, em varias ligas odontologicas nao preciosas, quando submetidas a acao de varios meios de imersao, durante periodos de tempos determinados. Foram utilizadas as ligas amarelas: duracast ms, goldent la; e as ligas brancas: biobond, durabond ms e ceramoplast ms. Usamos tambem as refusoes destas ligas, numa proporcao de 1/2: 1/2 de liga nova liga fundida"""
Incrustacoes metalicas fundidas de ligas do sistema prata estanho;1972;ODD;"""Incrustacoes metalicas fundidas de ligas do sistema prata estanho"""
Fluosilicato de zinco na prevencao da carie dental;1966;ODS;"""Fluosilicato de zinco na prevencao da carie dental"""
Posicao dos dentes suportes e de suas condicoes retentivas em relacao a um eixo de insercao e remocao dos aparelhos parciais removiveis - contribuicao ao seu estudo;1972;ODP;"""Posicao dos dentes suportes e de suas condicoes retentivas em relacao a um eixo de insercao e remocao dos aparelhos parciais removiveis - contribuicao ao seu estudo"""
Estudo comparativo de algumas caracteristicas mandibulares em maloclusoes de classe i e ii, divisao 1, de angle;1972;ODO;"""Estudo comparativo de algumas caracteristicas mandibulares em maloclusoes de classe i e ii, divisao 1, de angle"""
"Contribuicao ao estudo dos movimentos ortodonticos durante ""preparo de ancoragem"" ""retracao anterior"" e ""mecanica de classe ii""";1972;ODO;"""Contribuicao ao estudo dos movimentos ortodonticos durante ""preparo de ancoragem"" ""retracao anterior"" e ""mecanica de classe ii"""""
Contribuição para o estudo histométrico e histoquímico do processo de reparação de lesões obtidas experimentalmente na pele de ratos albinos;1972;ODD;"""Contribuição para o estudo histométrico e histoquímico do processo de reparação de lesões obtidas experimentalmente na pele de ratos albinos"""
Alterações da permeabilidade vascular na polpa dentaria de molar de rato (rattus norvegicus albinus, rodentia, mammalia), causadas por trauma sobre o dente;1972;ODE;"""Alterações da permeabilidade vascular na polpa dentaria de molar de rato (rattus norvegicus albinus, rodentia, mammalia), causadas por trauma sobre o dente"""
Estudos morfologicos do disco da articulacao temporomandibular no homem, em diferentes grupos etarios, e seu possivel significado etiologico e clinico;1972;ODC;"""Estudos morfologicos do disco da articulacao temporomandibular no homem, em diferentes grupos etarios, e seu possivel significado etiologico e clinico"""
Contribuicao para o estudo clinico, com comprovacao histopatologica da influencia da vitamina c na reparacao de feridas gengivais, em humanos submetidos a cirurgia periodontal pela tecnica da gengivectomia;1972;ODE;"""Contribuicao para o estudo clinico, com comprovacao histopatologica da influencia da vitamina c na reparacao de feridas gengivais, em humanos submetidos a cirurgia periodontal pela tecnica da gengivectomia"""
Mobilidade em protese ocular;1972;ODC;"""Mobilidade em protese ocular"""
Angulo de bennett;1972;ODP;"""Angulo de bennett"""
Estudo clinico comparativo quanto a eficiencia na remocao de placa dental utilizando as tecnicas giratoria, bass e fones;1972;ODD;"""Estudo clinico comparativo quanto a eficiencia na remocao de placa dental utilizando as tecnicas giratoria, bass e fones"""
Contribuicao para o estudo das alteracoes de concentracao hidrogenionica e de minerais ('NA', k, 'CA' e 'MG') na saliva humana mista, nao estimulada, de individuos portadores de doenca periodontal;1972;ODE;"""Contribuicao para o estudo das alteracoes de concentracao hidrogenionica e de minerais ('NA', k, 'CA' e 'MG') na saliva humana mista, nao estimulada, de individuos portadores de doenca periodontal"""
Ângulo da trajetória antero-posterior condilar;1972;ODP;"""Ângulo da trajetória antero-posterior condilar"""
Contribuicao para o estudo da variacao morfologica de raizes dentarias;1972;ODD;"""Contribuicao para o estudo da variacao morfologica de raizes dentarias"""
